"NOME","TTL","TIPO","VALOR"
"martinho.pt.",900,"MX","10 mail-pt.securemail.pro."
"smtp.martinho.pt.",900,"CNAME","smtp-pt.securemail.pro."
"webmail.martinho.pt.",900,"CNAME","webmail-pt.setupdns.net."
"mail.martinho.pt.",900,"CNAME","mail-pt.securemail.pro."
"www.martinho.pt.",900,"CNAME","martinho.pt."
"ftp.martinho.pt.",900,"CNAME","martinho.pt."
"pim.martinho.pt.",900,"CNAME","pim-pt.webapps.net."
"martinho.pt.",900,"TXT",""v=spf1 include:spf.webapps.net ~all""
"autoconfig.martinho.pt.",900,"CNAME","tb-pt.securemail.pro."
"_autodiscover._tcp.martinho.pt.",900,"SRV","10 10 443 ms-pt.securemail.pro."
"martinho.pt.",900,"A","188.83.165.172"
"key_1catj6bqv1._domainkey.martinho.pt.",900,"TXT",""v=DKIM1; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA2I8hbgQv1TyGrJkE+klIYLY2+2/ckzpQNTSTffXZdfE7xILrFRODeaHHPBGRoEJKu+C68BspoDDtIF4BUKz8LdNWG7jmPl2qXHdmB/oPagFZNQiQAja31pqdz7xdw2BE/W1aCTL5dQ+x9RY4+d8M987j8nSbpZxncwiEiDXKGQ5q2DGqTIz7DBYs1PNaYrz187C0bIceo1/imo+AG0oixHrhaslbFWnNgPqN9XrqLTwhe3RnbhQ+InKmXcNYpCgLUDPAQXX/arnAh8cy6f2mgThBNTso0p4SOBPyQVo7yChi3Di465KrXEV21eICi3uJpHGMkys/ZMZbNjIy3Xt9iwIDAQAB""
"homeassistant.martinho.pt.",900,"A","188.83.165.172"
"swag.martinho.pt.",900,"A","188.83.165.172"
"_atproto",900,"TXT","did=did:plc:5yscnem3yijhdwwh4nwed6ut"
"_minecraft._tcp.mc",900,"SRV","0 5 25565 mc.martinho.pt."
"mc.martinho.pt",900,"CNAME","ricadinho.eu"
"_minecraft._tcp.mine",900,"SRV","0 5 25565 apt.martinho.pt."
"apt.martinho.pt.",900,"A","129.213.95.100"